кашта	134
кхэрэстыр	134
прилыя	134
стронэндыр	134
1930	133
30	133
кхардя	133
маклаё	133
папуасэ	133
пора	133
шундлэ	133
адякэ-жэ	132
бэшлэ	132
пхэнэла	132
устя	132
джюкэл	131
кирло	131
пхувитка	131
семяны	131
тыри	131
чёроро	131
ярга	131
бельвеляса	130
гурано	130
джиибнастыр	130
дыкхэн	130
затмениё	130
полэна	130
чясти	130
бабано	129
ведь	129
гаджё	129
газо	129
классово	129
пашлэ	129
тагари	129
акакана	128
дёса	128
коллективно	128
попыя	128
рахиль	128
советы	128
ах	127
гана	127
марла	127
чячюнэ	127
ґондя	127
гинэла	126
обрисия	126
сунэ	126
урожаё	126
выджяна	125
ракирэса	125
сама	125
хасёла	125
чячипэн	125
-со	124
брылька	124
бутяритка	124
гыям	124
ивья	124
лыджинэ	124
лылваря	124
макаро	124
тэрдынэ	124
шэла	124
авнэ	123
ачнэ	123
багала	123
организацыи	123
псикэ	123
страхатыр	123
бичядя	122
мулыпэ	122
патря	122
пхураны	122
сыкадёла	122
штубы	122
дыяпэ	121
ей	121
калышо	121
музыка	121
прилынэ	121
удэра	121
василие	120
га	120
даса	120
дыём	120
камаибэ	120
камэлапэ	120
могискираса	120
муло	120
пучибэ	120
пэр	120
сево	120
урдо	120
шуко	120
-ж	119
-же	119
11	119
барыдыр	119
глосяса	119
колхозэн	119
организацыя	119
тховэна	119
тэрны	119
адасавэн	118
вано	118
локхо	118
мурш	118
уґалыя	118
шылало	118
вгыя	117
дурэдыр	117
за	117
логкхо	117
политика	117
пхэнэл	117
пхэрды	117
роздыяпэ	117
савэндэ	117
хачёла	117
хулаибнытко	117
чя	117
гурувня	116
мэлалэ	116
создэс	116
ачелапэ	115
како	115
надыкхи	115
проджяна	115
пролыджия	115
хасёл	115
бэршэстыр	114
дэлас	114
куркэ	114
кхардэ	114
пьеса	114
ряды	114
савэн	114
сыкадэ	114
чинэс	114
чёра	114
-савэ	113
книги	113
кой-савэ	113
нацыонально	113
омелька	113
пригыяпэ	113
пэрва	113
ракирдём	113
тхув	113
тэрдёв	113
чюрдынэпэ	113
бригады	112
дарано	112
кэрды	112
море	112
полэла	112
прастана	112
ракирэн	112
соцыализмо	112
бар	111
барьёна	111
всегда	111
вэрсты	111
джюкэла	111
дромэстыр	111
мангья	111
понабут	111
пэтало	111
фэнштры	111
грубо	110
гурувнен	110
дужакирдя	110
зярно	110
колхозостыр	110
кхэлыбэн	110
кэрэла	110
лынаскиро	110
манушэндыр	110
миштыпэн	110
наґара	110
паладава	110
подгынэ	110
пхари	110
ракирэл	110
рипирава	110
совхозы	110
тхуд	110
шпэра	110
ґаздэс	110
блата	109
бутякирна	109
джиндём	109
дубровско	109
ев	109
кэр	109
манушэса	109
псирдя	109
товаришшё	109
удыкхьём	109
чинэна	109
аври	108
бэнга	108
гасы	108
грэда	108
джины	108
дукх	108
дэвлэстэ	108
кашт	108
кэрава	108
палодова	108
прилэла	108
саво-	108
скэдыяпэ	108
тракторо	108
трэмо	108
тыраха	108
шаро	108
шундём	108
амэнца	107
бара	107
бэршытко	107
ванты	107
змэкья	107
камэла	107
одотхыр	107
папу	107
правительство	107
салапэ	107
сарэндыр	107
сыкадо	107
товаришши	107
шун	107
бэршэндыр	106
вастэндыр	106
вэсна	106
кудька	106
ленинско	106
муеса	106
печять	106
пролетарско	106
савэ-	106
саструнэ	106
удыкхнэ	106
чириклэ	106
дживэл	105
калыпэ	105
колхозоскиро	105
конэстэ	105
никонэс	105
пролыджяла	105
псирла	105
самонэ	105
тагаритко	105
хулаибнаса	105
че	105
1-	104
вгынэ	104
гад	104
дадоро	104
задэибэн	104
замардэ	104
идя	104
искусство	104
лагуно	104
острово	104
подуминдя	104
ракирэла	104
ровэла	104
тырдэла	104
яга	104
адаи	103
англыдыр	103
дэша	103
екхэскэ	103
знамё	103
мангава	103
отгыя	103
прастандынэ	103
пучьём	103
роты	103
рсфср	103
сыкавэна	103
трушыл	103
чюрдэ	103
группа	102
джяв	102
кисык	102
колхознико	102
насвало	102
советэн	102
станцыя	102
сцэна	102
сыр-то	102
трианда	102
думинава	101
кирки	101
лыяпэ	101
налачё	101
пири	101
плошшядь	101
сыкавэс	101
ухтя	101
шатратыр	101
дэвлэс	100
залэнапэ	100
камаибэн	100
марэн	100
набутка	100
порядко	100
холятыр	100
шунэла	100
бокх	99
